Name,MB,Year,House
Argus Keddle,11,2,Hufflepuff
Stan Zabini,7,3,Gryffindor
Newton Dolohov,14,5,Ravenclaw
Cadmus MacNair,3,3,Slytherin
Trevor Boardman,12,4,Ravenclaw
Kevin Jorkins,1,6,Gryffindor
Lucius Peverell,10,5,Hufflepuff
Stubby Quirke,8,3,Hufflepuff
Horace Delacour,6,6,Gryffindor
Aberforth Abbott,6,3,Gryffindor
Edgar Turpin,3,3,Slytherin
Ragnok Grindelwald,6,5,Gryffindor
Aunt Marge Gudgeon,8,2,Hufflepuff
Olympe Jones,4,4,Slytherin
Marge Umfraville,16,2,Ravenclaw
Hermione Krum,4,5,Slytherin
Zacharias McLaggen,10,4,Hufflepuff
Kendra Meliflua,9,3,Slytherin
Antioch Flint,6,2,Gryffindor
Ariana Riddle,9,4,Slytherin
Dolores Hagrid,14,2,Ravenclaw
Quentin Vulchanov,16,4,Ravenclaw
Petunia Bagshot,8,2,Hufflepuff
Bloody Baron Diggle,11,3,Hufflepuff
Minerva Imago,16,3,Ravenclaw
Bartemius Derwent,5,4,Ravenclaw
Trevor Prince,6,5,Gryffindor
Narcissa Jordan,14,4,Ravenclaw
Alicia Kneen,16,3,Ravenclaw
Ariana Peverell,11,4,Hufflepuff
Alice Pennifold,6,4,Gryffindor
Fluffy Dursley,1,3,Gryffindor
Quigley Hufflepuff,11,5,Hufflepuff
Silvanus Zabini,4,4,Slytherin
Hermes Dolohov,12,5,Ravenclaw
Albus percival Wulfric Brian Hopkirk,1,5,Gryffindor
Barnabas the Barmy Black,2,4,Slytherin
Draco Umfraville,8,5,Hufflepuff
Terence Slytherin,6,4,Gryffindor
Marge Midgeon,15,4,Ravenclaw
Wilfred ,2,6,Slytherin
Wormtail Wood,14,6,Ravenclaw
Bozo Pomfrey,15,5,Ravenclaw
Quirinus Finnigan,4,2,Slytherin
Lord Voldemort Flamel,10,5,Hufflepuff
Elfrida Perks,5,3,Ravenclaw
Norbert Helga,14,3,Ravenclaw
Bozo Chang,13,6,Ravenclaw
Angelina Whitby,2,5,Slytherin
Quigley Imago,7,5,Gryffindor
James Skeeter,9,4,Slytherin
You-Know-Who Twycross,11,5,Hufflepuff
Katie Zograf,5,2,Ravenclaw
Gertie Figg,15,2,Ravenclaw
Quigley Dursley,4,4,Slytherin
Draco Lestrange,6,6,Gryffindor
Teddy Skeeter,4,6,Slytherin
Cho Hooch,8,5,Hufflepuff
Peter Binns,4,2,Slytherin
Quirinus Morgan,9,3,Slytherin
Gwenog Marchbanks,3,4,Slytherin
Cassius Clearwater,2,4,Slytherin
Piers Bones,8,3,Hufflepuff
Hestia Brown,3,6,Slytherin
Silvanus Dumbledore,12,4,Ravenclaw
Uric Ollivander,9,5,Slytherin
Lavender Bones,11,5,Hufflepuff
Bellatrix MacFarlan,4,5,Slytherin
Florean Jigger,8,6,Hufflepuff
Fluffy Jigger,9,4,Slytherin
Modesty Delacour,10,2,Hufflepuff
Nearly Headless Nick Wood,14,2,Ravenclaw
Alecto Goshawk,16,6,Ravenclaw
Celestina Trelawney,10,2,Hufflepuff
Hengist of Woodcroft Peakes,9,2,Slytherin
Stan Hagrid,3,4,Slytherin
Kevin Keddle,3,2,Slytherin
Quintius Dursley,8,5,Hufflepuff
Cassandra Slinkhard,3,2,Slytherin
Lee Doreen,6,4,Gryffindor
Peter Bulstrode,4,4,Slytherin
Narcissa Bell,9,5,Slytherin
Padfoot Corner,3,3,Slytherin
Helga Marchbanks,10,6,Hufflepuff
Alastor Zograf,4,4,Slytherin
Goodwin Twycross,9,2,Slytherin
Eloise MacFarlan,5,2,Ravenclaw
Arcturus Mumps,7,2,Gryffindor
Ariana McLaggen,4,4,Slytherin
Bartemius Bode,15,6,Ravenclaw
Remus Doge,12,6,Ravenclaw
Katie Maxime,15,4,Ravenclaw
Araminta Moody,16,2,Ravenclaw
Snuffles Dedalus,8,2,Hufflepuff
Thomas Finch-Fletchley,5,3,Ravenclaw
Piers Lovegood,12,5,Ravenclaw
Emmeline Clagg,11,2,Hufflepuff
Charlie Lestrange,11,6,Hufflepuff
Cho Pennifold,2,4,Slytherin
Ptolemy Morgan,5,6,Ravenclaw
Ludo Boardman,15,4,Ravenclaw
Severus Zeller,1,4,Gryffindor
Phineas Nigellus Switch,13,6,Ravenclaw
Gladys Snape,6,2,Gryffindor
Hermes Mostafa,15,3,Ravenclaw
Sirius MacFarlan,12,4,Ravenclaw
Horace Purkiss,14,2,Ravenclaw
Marietta Malfoy,10,2,Hufflepuff
Malkin Dumbledore,16,2,Ravenclaw
Florean Malfoy,6,3,Gryffindor
Marvolo Keddle,16,5,Ravenclaw
Dirk Vulchanov,15,6,Ravenclaw
Violet ,5,5,Ravenclaw
Inigo Warbeck,4,4,Slytherin
Circe Belby,11,5,Hufflepuff
Lisa Gaunt,6,2,Gryffindor
Mosag Skeeter,11,5,Hufflepuff
Ritchie Shacklebolt,1,4,Gryffindor
Pigwidgeon Delacour,12,5,Ravenclaw
Seamus Keddle,16,5,Ravenclaw
Morgana Gaunt,4,6,Slytherin
Hugo Bryce,9,4,Slytherin
Fluffy Robins,14,4,Ravenclaw
Tom Black,7,4,Gryffindor
Gregory the Smarmy Fortescue,6,4,Gryffindor
Petunia Whisp,11,3,Hufflepuff
Avery Dursley,4,2,Slytherin
Gregory Elphick,6,3,Gryffindor
Romilda Vulchanov,15,3,Ravenclaw
Golgomath Corner,9,3,Slytherin
Newton Crabbe,12,2,Ravenclaw
Pius Malfoy,4,3,Slytherin
Uric Bones,10,4,Hufflepuff
Merope Podmore,14,2,Ravenclaw
Uric Whisp,1,5,Gryffindor
Charity Slinkhard,7,4,Gryffindor
Quintius Delaney-Podmore,6,4,Gryffindor
Hepzibah Grubbly-Plank,7,3,Gryffindor
Frank Higgs,5,4,Ravenclaw
Amycus Bagnold,2,3,Slytherin
Bartemius Goldstein,5,3,Ravenclaw
Quirinus Quirrell,2,4,Slytherin
Ritchie Lupin,4,2,Slytherin
Ripper Bragge,9,5,Slytherin
Patrick Rabnott,14,6,Ravenclaw
Quintius Grindelwald,2,2,Slytherin
Gilderoy Cattermole,4,5,Slytherin
George Doreen,7,4,Gryffindor
Kevin Twycross,10,3,Hufflepuff
Amelia Susan Lockhart,12,4,Ravenclaw
Gregory Derwent,11,5,Hufflepuff
Kreacher Switch,3,3,Slytherin
Circe Parkinson,11,3,Hufflepuff
John Peasegood,16,3,Ravenclaw
Elfrida Trimble,2,5,Slytherin
Aurora Hagrid,5,6,Ravenclaw
Sirius Perks,7,4,Gryffindor
Amycus Dursley,11,5,Hufflepuff
Fingal the Fearless Skeeter,12,4,Ravenclaw
Millicent Weasley,14,2,Ravenclaw
Edgar Whisp,5,2,Ravenclaw
Snuffles Flitwick,3,4,Slytherin
Dennis Switch,15,3,Ravenclaw
Prongs Lovegood,7,3,Gryffindor
Fred Vane,13,3,Ravenclaw
Bloody Baron Snape,1,3,Gryffindor
Aidan Delaney-Podmore,11,2,Hufflepuff
Elladora Gudgeon,3,6,Slytherin
Ludo Dolohov,12,3,Ravenclaw
Hokey Bode,3,2,Slytherin
Muriel Rosier,2,5,Slytherin
Goodwin Clearwater,5,5,Ravenclaw
Bartemius Corner,10,6,Hufflepuff
Cormac Midgeon,13,6,Ravenclaw
Newton Zabini,15,3,Ravenclaw
Cormac Umfraville,13,2,Ravenclaw
Griselda Rabnott,4,6,Slytherin
Sybill MacMillian,13,5,Ravenclaw
Bogrod Flitwick,9,6,Slytherin
Rubeus Gudgeon,7,3,Gryffindor
Olympe Doge,11,3,Hufflepuff
Wilbert Skeeter,1,4,Gryffindor
Michael Timms,7,6,Gryffindor
Gregory the Smarmy Grubbly-Plank,8,5,Hufflepuff
Ludo Goldstein,9,3,Slytherin
Cadmus Johnson,4,4,Slytherin
Stan Jordan,8,5,Hufflepuff
Paracelsus Oswald,4,3,Slytherin
Patrick Derwent,8,4,Hufflepuff
Argus Zeller,9,4,Slytherin
Molly Tonks,13,4,Ravenclaw
Violet Grunnion,2,3,Slytherin
Moran Gaunt,12,5,Ravenclaw
Bartemius Crouch Junior Gregorovitch,1,5,Gryffindor
Doris Abbott,4,5,Slytherin
Kendra Quirke,4,2,Slytherin
Hedwig Granger,15,3,Ravenclaw
Remus Weasley,4,2,Slytherin
Vaisey Boardman,14,2,Ravenclaw
Lisa Brown,15,6,Ravenclaw
Kennilworthy Corner,15,4,Ravenclaw
Sturgis Sprout,2,2,Slytherin
Vincent Patil,15,3,Ravenclaw
Demelza MacFarlan,7,6,Gryffindor
Eloise Finch-Fletchley,8,5,Hufflepuff
You-Know-Who Wood,11,2,Hufflepuff
Agrippa Flitwick,4,3,Slytherin
Dobby Pettigrew,12,6,Ravenclaw
Elphias Prince,8,6,Hufflepuff
Septima McLaggen,6,2,Gryffindor
Lee Lockhart,15,6,Ravenclaw
Fred Nott,8,4,Hufflepuff
Theodore Kirke,8,2,Hufflepuff
Violet Lestrange,11,3,Hufflepuff
Argus Trelawney,16,4,Ravenclaw
Jean Lestrange,12,6,Ravenclaw
Bozo Grubbly-Plank,4,4,Slytherin
Ritchie Millicent,4,4,Slytherin
Crookshanks Goyle,3,2,Slytherin
Merope Davies,10,3,Hufflepuff
Dean Clearwater,11,3,Hufflepuff
Katie Prince,2,5,Slytherin
Bartemius Crouch Junior Imago,3,3,Slytherin
Ted Jorkins,16,4,Ravenclaw
Ron Zograf,13,6,Ravenclaw
Katie Mumps,5,6,Ravenclaw
Filius Grubbly-Plank,2,5,Slytherin
Garrick Grindelwald,9,3,Slytherin
Ernie Jones,1,3,Gryffindor
Snuffles Delaney-Podmore,4,4,Slytherin
Arthur Black,14,6,Ravenclaw
Fluffy Goyle,8,2,Hufflepuff
Hamish Goshawk,5,3,Ravenclaw
Rolanda Dolohov,16,4,Ravenclaw
Charlie Dursley,13,3,Ravenclaw
Magorian Delacour,1,4,Gryffindor
Angelina Lovegood,13,6,Ravenclaw
Broderick Purkiss,10,2,Hufflepuff
Newton Clagg,14,2,Ravenclaw
Nymphadora Crouch,2,2,Slytherin
Igor Mimsey-Porpington,9,4,Slytherin
Dilys Lockhart,5,4,Ravenclaw
Madam Poppy Hopkirk,2,3,Slytherin
Arcturus Fortescue,4,5,Slytherin
George Hopkirk,4,3,Slytherin
Lee Bell,7,2,Gryffindor
Frank Clagg,10,4,Hufflepuff
Peeves Bulstrode,9,2,Slytherin
Roger Abbott,7,2,Gryffindor
Janus Kneen,7,4,Gryffindor
Jimmy Abbott,11,6,Hufflepuff
Thomas Doge,15,3,Ravenclaw
Hestia Peasegood,10,2,Hufflepuff
Minerva Goldstein,5,4,Ravenclaw
Cuthbert Jigger,1,2,Gryffindor
Ted Timms,3,3,Slytherin
Amos Davies,8,2,Hufflepuff
Mosag Bode,14,3,Ravenclaw
Jimmy Robins,14,6,Ravenclaw
Fat Friar Twycross,11,4,Hufflepuff
Ginny Warrington,12,2,Ravenclaw
Neville Kirke,9,3,Slytherin
Elfrida Dedalus,7,6,Gryffindor
Minerva Finch-Fletchley,3,5,Slytherin
Gabrielle Granger,4,4,Slytherin
Edgar Bagshot,14,2,Ravenclaw
Igor Dursley,9,3,Slytherin
Magorian Fortescue,4,5,Slytherin
Jugson Podmore,14,4,Ravenclaw
Antioch Imago,7,6,Gryffindor
Barberus Polkiss,12,6,Ravenclaw
Cho Zograf,2,4,Slytherin
Kevin Bryce,9,4,Slytherin
Hermione Shacklebolt,5,5,Ravenclaw
Madam Poppy Moody,11,4,Hufflepuff
John Coote,5,5,Ravenclaw
Seamus Creevey,3,2,Slytherin
Janus Bagman,1,4,Gryffindor
Snivellus MacNair,3,6,Slytherin
Marietta Higgs,9,5,Slytherin
Kreacher Grunnion,11,2,Hufflepuff
Rowena Pettigrew,7,2,Gryffindor
Cadmus McGonagall,12,6,Ravenclaw
Bilius Pennifold,12,2,Ravenclaw
Yaxley Derwent,12,5,Ravenclaw
Cuthbert Quirke,9,4,Slytherin
Aurora Gregorovitch,14,5,Ravenclaw
Cassius Gryffindor,11,5,Hufflepuff
Ludo Vulchanov,8,4,Hufflepuff
Marcus Lovegood,11,4,Hufflepuff
Seamus Riddle,9,2,Slytherin
Sirius Patil,12,4,Ravenclaw
Dilys Finnigan,2,5,Slytherin
Petunia Ogden,13,4,Ravenclaw
Pomona Mundungus,9,2,Slytherin
Fingal the Fearless Lockhart,8,3,Hufflepuff
Stan Karkaroff,5,6,Ravenclaw
Ptolemy Doreen,1,5,Gryffindor
Aragog Mumps,5,6,Ravenclaw
Ivan Grubbly-Plank,15,5,Ravenclaw
Mafalda Edgecombe,1,6,Gryffindor
Hestia Zeller,1,2,Gryffindor
Evan Longbottom,2,4,Slytherin
Aunt Marge Zeller,14,2,Ravenclaw
Dolores Binns,11,4,Hufflepuff
Fleur Shacklebolt,13,2,Ravenclaw
Dedalus Karkaroff,9,5,Slytherin
Vincent Jones,10,5,Hufflepuff
Angelina Crockford,14,3,Ravenclaw
Araminta Grindelwald,15,2,Ravenclaw
Xenophilius Rosier,16,5,Ravenclaw
Fawkes Clagg,2,3,Slytherin
Dobby Peasegood,16,6,Ravenclaw
Gregory Dumbledore,4,4,Slytherin
Albus percival Wulfric Brian Finnigan,6,4,Gryffindor
Bartemius Crouch Junior Pettigrew,4,5,Slytherin
Hamish Corner,8,3,Hufflepuff
Karkus Doge,5,5,Ravenclaw
Elfrida Goshawk,6,2,Gryffindor
Broderick Kettleburn,1,2,Gryffindor
Lisa Slinkhard,11,2,Hufflepuff
Evan Chang,1,5,Gryffindor
Fang Tonks,10,6,Hufflepuff
Rita Pettigrew,11,2,Hufflepuff
Circe Goldstein,14,6,Ravenclaw
Bane Helga,10,2,Hufflepuff
Patrick McLaggen,8,3,Hufflepuff
Golgomath Umbridge,15,2,Ravenclaw
Aunt Marge Tonks,10,2,Hufflepuff
Draco Brown,14,4,Ravenclaw
Errol Slinkhard,12,6,Ravenclaw
Arcturus McGonagall,11,6,Hufflepuff
Bill Peasegood,4,4,Slytherin
Dirk Longbottom,13,5,Ravenclaw
Fat Friar Black,10,2,Hufflepuff
Dolores Thickey,6,3,Gryffindor
Wendelin Kneen,10,5,Hufflepuff
Justin Millicent,6,6,Gryffindor
Karkus Dursley,4,4,Slytherin
Horace Moody,13,5,Ravenclaw
Troy Trimble,8,4,Hufflepuff
Romilda Lockhart,5,4,Ravenclaw
Angelina Prang,3,4,Slytherin
Hamish Weasley,6,3,Gryffindor
Millicent Figg,13,6,Ravenclaw
Rowena MacNair,16,5,Ravenclaw
Ripper Mimsey-Porpington,14,2,Ravenclaw
Bertha Purkiss,6,2,Gryffindor
Alicia Goshawk,13,4,Ravenclaw
Cassandra Shacklebolt,10,4,Hufflepuff
Aidan Gaunt,9,6,Slytherin
Evan Goyle,7,3,Gryffindor
Reginald Maxime,1,4,Gryffindor
Bellatrix Whisp,15,4,Ravenclaw
Ptolemy Derwent,4,3,Slytherin
Troy Weasley,13,3,Ravenclaw
Vernon Dedalus,14,6,Ravenclaw
Charlie Whisp,12,5,Ravenclaw
Gregory Jorkins,16,4,Ravenclaw
Elfrida Dippet,6,4,Gryffindor
George Gudgeon,3,6,Slytherin
Bartemius Crouch Junior Lovegood,12,2,Ravenclaw
Augustus Granger,10,4,Hufflepuff
Modesty Shacklebolt,13,2,Ravenclaw
Fingal the Fearless Jones,16,5,Ravenclaw
Remus Trimble,7,5,Gryffindor
Ptolemy Flitwick,12,5,Ravenclaw
Draco Mundungus,15,3,Ravenclaw
Narcissa Black,3,5,Slytherin
Quentin Grindelwald,8,2,Hufflepuff
Gladys Mumps,16,5,Ravenclaw
Vincent Pince,16,2,Ravenclaw
Hepzibah Robins,4,5,Slytherin
Morgana Skeeter,13,6,Ravenclaw
Andromeda Pennifold,16,3,Ravenclaw
Emmeline MacMillian,8,6,Hufflepuff
Hamish Mimsey-Porpington,8,6,Hufflepuff
Eunice Derwent,2,6,Slytherin
Jean Imago,1,4,Gryffindor
Pansy Rookwood,9,5,Slytherin
Hugo Bagshot,1,4,Gryffindor
Reginald Bryce,9,2,Slytherin
Alecto Crockford,14,3,Ravenclaw
Petunia Evans,11,5,Hufflepuff
Uric Ivanova,12,3,Ravenclaw
Orla Goldstein,15,2,Ravenclaw
Gwendolyn Flamel,10,3,Hufflepuff
Ripper Finch-Fletchley,15,5,Ravenclaw
Hamish Wood,8,6,Hufflepuff
Pansy Imago,11,4,Hufflepuff
Dennis Jorkins,6,6,Gryffindor
Wilhelmina ,12,3,Ravenclaw
Colin Chang,15,4,Ravenclaw
Hamish Shacklebolt,2,5,Slytherin
Agrippa Rabnott,7,2,Gryffindor
Viridian Lockhart,2,2,Slytherin
Arsenius Clearwater,13,6,Ravenclaw
Snuffles Perks,8,6,Hufflepuff
Katie Turpin,10,5,Hufflepuff
Lavender Mimsey-Porpington,1,4,Gryffindor
Mafalda Elphick,14,4,Ravenclaw
Bogrod Timms,2,5,Slytherin
Draco Dawlish,6,6,Gryffindor
Rose Mundungus,15,2,Ravenclaw
Alphard Cattermole,14,6,Ravenclaw
Petunia Jordan,4,4,Slytherin
Bathilda Clagg,9,6,Slytherin
Gwenog Grindelwald,11,2,Hufflepuff
Jimmy Bagshot,3,6,Slytherin
Luna Robins,16,6,Ravenclaw
Alice Bragge,4,2,Slytherin
Miranda Granger,13,5,Ravenclaw
Arsenius Clagg,6,3,Gryffindor
Hannah MacMillian,1,2,Gryffindor
Mosag Riddle,6,2,Gryffindor
Paracelsus Weasley,15,6,Ravenclaw
Millicent Peasegood,1,4,Gryffindor
Vincent Kirke,7,5,Gryffindor
Pomona Whitby,13,5,Ravenclaw
Padma Jordan,8,4,Hufflepuff
Gellert Trelawney,8,4,Hufflepuff
Scabbers Murray,11,5,Hufflepuff
Ritchie Quirke,4,3,Slytherin
Phyllida Coote,2,3,Slytherin
Bloody Baron Pomfrey,13,5,Ravenclaw
Fluffy Mostafa,15,3,Ravenclaw
Quirinus Parkinson,4,3,Slytherin
Eloise Carrow,10,6,Hufflepuff
Golgomath Peverell,6,4,Gryffindor
Wilbert Fortescue,16,3,Ravenclaw
Irma Grindelwald,10,4,Hufflepuff
Gellert ,15,2,Ravenclaw
Kingsley Marchbanks,14,6,Ravenclaw
Pomona Peverell,14,5,Ravenclaw
Trevor Delacour,5,4,Ravenclaw
Penelope Bagshot,6,4,Gryffindor
Ivan Mundungus,2,3,Slytherin
Celestina Jorkins,6,4,Gryffindor
Dobby Fletcher,14,3,Ravenclaw
Aurora Pettigrew,11,2,Hufflepuff
Horace Vector,6,4,Gryffindor
Scorpius Crockford,12,2,Ravenclaw
Sirius Fortescue,6,3,Gryffindor
Bob Gaunt,14,6,Ravenclaw
Cedric McGonagall,8,6,Hufflepuff
Nymphadora Bulstrode,10,5,Hufflepuff
Arabella Longbottom,8,2,Hufflepuff
Wendelin Jigger,15,5,Ravenclaw
Igor Fortescue,7,4,Gryffindor
Dolores Flamel,8,5,Hufflepuff
Rubeus Hufflepuff,15,2,Ravenclaw
Phineas Nigellus Sprout,8,5,Hufflepuff
Remus Johnson,11,3,Hufflepuff
Barnabas the Barmy MacMillian,15,3,Ravenclaw
Helga Jones,5,5,Ravenclaw
Modesty Crockford,3,4,Slytherin
Gabrielle Gregorovitch,10,3,Hufflepuff
Doris Finnigan,10,4,Hufflepuff
Septima Bones,10,4,Hufflepuff
Quentin Trelawney,5,3,Ravenclaw
Charlie Ivanova,10,4,Hufflepuff
Godric Derwent,6,3,Gryffindor
Amycus Rookwood,4,5,Slytherin
Jugson Maxime,6,4,Gryffindor
Wendy Fletcher,12,5,Ravenclaw
Gregory the Smarmy Nott,1,4,Gryffindor
Aunt Marge Coote,4,3,Slytherin
Gwendolyn Umbridge,6,6,Gryffindor
Albus percival Wulfric Brian Dippet,8,6,Hufflepuff
Avery Peakes,13,5,Ravenclaw
Dirk Figg,13,2,Ravenclaw
Evan Bagman,8,3,Hufflepuff
Tom Creevey,1,2,Gryffindor
Muriel Goldstein,2,4,Slytherin
Newton Ravenclaw,10,6,Hufflepuff
Parvati Krum,5,2,Ravenclaw
Ragnok Dumbledore,3,5,Slytherin
Bartemius MacMillian,15,4,Ravenclaw
Andromeda Crabbe,1,4,Gryffindor
Mosag Dolohov,8,6,Hufflepuff
Barberus Corner,1,5,Gryffindor
Janus Mumps,1,6,Gryffindor
Lord Voldemort Lynch,8,5,Hufflepuff
Viktor Mumps,13,3,Ravenclaw
Katie Trelawney,6,3,Gryffindor
Barnabas the Barmy Oswald,12,5,Ravenclaw
Bill Prewett,10,5,Hufflepuff
Helga Snape,12,5,Ravenclaw
Anthony Jordan,5,4,Ravenclaw
Fat Friar Edgecombe,9,6,Slytherin
Terence Flamel,10,2,Hufflepuff
Yaxley Slughorn,2,6,Slytherin
Roger Fudge,2,6,Slytherin
Ritchie Pettigrew,10,6,Hufflepuff
Charity Morgan,12,2,Ravenclaw
Edgar Mostafa,4,5,Slytherin
Moony MacMillian,10,2,Hufflepuff
Molly Prang,7,3,Gryffindor
Helga Flamel,3,4,Slytherin
Morgana Umfraville,2,5,Slytherin
Pansy McClaggen,11,6,Hufflepuff
Ron Jorkins,13,3,Ravenclaw
Scabbers Filch,15,4,Ravenclaw
Kingsley Crockford,10,4,Hufflepuff
Circe Krum,10,2,Hufflepuff
Clara Pennifold,8,4,Hufflepuff
Petunia Perks,14,4,Ravenclaw
Jimmy Granger,1,2,Gryffindor
Kennilworthy Lynch,1,6,Gryffindor
Wilbert Maxime,5,3,Ravenclaw
Dean Goyle,16,3,Ravenclaw
Ariana Bulstrode,6,4,Gryffindor
Bozo Mumps,2,5,Slytherin
Dean Goldstein,7,2,Gryffindor
Wilbert Whisp,7,2,Gryffindor
Tom Diggle,7,5,Gryffindor
Vaisey Doge,6,6,Gryffindor
Quentin Peasegood,5,5,Ravenclaw
Ptolemy Perks,6,6,Gryffindor
Muriel Belby,1,4,Gryffindor
Aunt Marge MacFarlan,3,6,Slytherin
Minerva Shacklebolt,4,5,Slytherin
Rosmerta Imago,4,3,Slytherin
Lucius Hagrid,10,6,Hufflepuff
Oblansk Crouch,4,2,Slytherin
Vincent Smith,6,3,Gryffindor
Quirinus Chang,15,3,Ravenclaw
Antioch Malfoy,3,3,Slytherin
Scorpius Mumps,9,6,Slytherin
Paracelsus Podmore,9,3,Slytherin
Vernon Fletcher,1,4,Gryffindor
Fluffy Meliflua,13,6,Ravenclaw
Ron McGonagall,16,5,Ravenclaw
Aunt Marge Granger,14,5,Ravenclaw
MykewÂ Imago,13,6,Ravenclaw
Fingal the Fearless Delaney-Podmore,15,3,Ravenclaw
Sirius Higgs,6,2,Gryffindor
Amycus Dawlish,7,3,Gryffindor
Beedle MacMillian,6,3,Gryffindor
Cassius Hagrid,7,3,Gryffindor
Adalbert Burbage,7,6,Gryffindor
Kreacher Perks,12,3,Ravenclaw
Gellert Wood,8,5,Hufflepuff
Gregory the Smarmy Evans,2,4,Slytherin
Aberforth Hooch,11,3,Hufflepuff
Dudley Delaney-Podmore,9,2,Slytherin
Ron Hopkirk,10,4,Hufflepuff
Oblansk Midgeon,5,6,Ravenclaw
Gwenog Mimsey-Porpington,1,4,Gryffindor
Merope Murray,12,3,Ravenclaw
Cedric Derwent,10,3,Hufflepuff
Ernie McLaggen,3,3,Slytherin
Lucius Boardman,9,4,Slytherin
Garrick Perks,7,5,Gryffindor
Alicia Purkiss,6,4,Gryffindor
Marietta Cresswell,3,6,Slytherin
Madam Poppy Edgecombe,8,3,Hufflepuff
Victoire Evans,4,6,Slytherin
Fleur Mundungus,6,3,Gryffindor
Lord Voldemort Evans,13,3,Ravenclaw
Cornelius Bagnold,10,5,Hufflepuff
Bertha Riddle,12,4,Ravenclaw
Jimmy Carrow,6,2,Gryffindor
Hannah Bones,13,4,Ravenclaw
Bilius Mimsey-Porpington,3,6,Slytherin
Quirinus Kirke,7,2,Gryffindor
Vincent Rookwood,15,6,Ravenclaw
Nagini Lestrange,11,6,Hufflepuff
Nagini Warbeck,5,5,Ravenclaw
Angelina Vector,16,3,Ravenclaw
Olympe Ollivander,8,5,Hufflepuff
Agatha Vane,9,6,Slytherin
Amelia Susan Switch,8,5,Hufflepuff
Evan Finch-Fletchley,3,6,Slytherin
Jimmy Boardman,7,4,Gryffindor
Alicia Timms,1,5,Gryffindor
Charlie Ogden,8,3,Hufflepuff
Cornelius Pennifold,2,4,Slytherin
Teddy Jigger,10,3,Hufflepuff
Fleur Binns,15,6,Ravenclaw
Neville Dedalus,11,6,Hufflepuff
Pigwidgeon Peasegood,8,5,Hufflepuff
Griselda Delaney-Podmore,14,3,Ravenclaw
Helena Brown,2,6,Slytherin
Broderick Kneen,14,2,Ravenclaw
Susan Umbridge,15,5,Ravenclaw
Wendy Marchbanks,12,6,Ravenclaw
Gregory Whitby,14,2,Ravenclaw
James Prince,1,3,Gryffindor
Clara Edgecombe,5,5,Ravenclaw
Victoire Oswald,5,3,Ravenclaw
Theodore Gryffindor,5,2,Ravenclaw
Modesty Lupin,12,2,Ravenclaw
Modesty Thickey,15,5,Ravenclaw
Bozo Rookwood,14,3,Ravenclaw
George Crouch,16,6,Ravenclaw
Zacharias Quirke,8,5,Hufflepuff
Errol Derwent,2,2,Slytherin
Xenophilius Delaney-Podmore,8,6,Hufflepuff
Ignotus Lockhart,6,6,Gryffindor
Colin Filch,8,5,Hufflepuff
Alice Perks,12,3,Ravenclaw
Yaxley Belby,15,3,Ravenclaw
Wormtail Fortescue,10,3,Hufflepuff
Sturgis Binns,4,5,Slytherin
Hedwig Carrow,9,3,Slytherin
Broderick Riddle,12,2,Ravenclaw
James Cattermole,7,5,Gryffindor
Amycus Doge,9,3,Slytherin
Amelia Susan Mostafa,3,6,Slytherin
Salazar Quirrell,3,5,Slytherin
Thomas Clearwater,9,3,Slytherin
Kingsley Thicknesse,6,4,Gryffindor
Harry Fudge,15,3,Ravenclaw
Ginny Helga,14,5,Ravenclaw
Daisy MacMillian,16,6,Ravenclaw
Hermes Cresswell,6,5,Gryffindor
Lily Prewett,4,2,Slytherin
Oblansk Turpin,8,3,Hufflepuff
Xenophilius Quirrell,5,4,Ravenclaw
Moran Bagman,13,5,Ravenclaw
Piers Pettigrew,9,6,Slytherin
Snivellus Jorkins,15,2,Ravenclaw
Ragnok Thickey,9,3,Slytherin
Arabella Cattermole,10,2,Hufflepuff
Gilderoy Jorkins,7,3,Gryffindor
Draco Sprout,3,3,Slytherin
Quintius Grunnion,3,2,Slytherin
Marcus Tonks,14,5,Ravenclaw
Arabella Vane,12,6,Ravenclaw
Stubby Trelawney,15,3,Ravenclaw
Muriel Malfoy,13,4,Ravenclaw
Bertha Evans,12,3,Ravenclaw
Dobby McGonagall,5,6,Ravenclaw
Clara Quirke,10,2,Hufflepuff
Padfoot Gaunt,14,3,Ravenclaw
Horace Ollivander,2,6,Slytherin
Rubeus Kneen,3,4,Slytherin
Gregory the Smarmy MacFarlan,15,4,Ravenclaw
Trevor Trelawney,12,5,Ravenclaw
Karkus Filch,14,2,Ravenclaw
Rubeus Trelawney,12,4,Ravenclaw
Seamus Purkiss,11,6,Hufflepuff
Harry Cattermole,11,2,Hufflepuff
Piers Whitby,4,3,Slytherin
Bogrod Bulstrode,5,6,Ravenclaw
Modesty Warrington,5,4,Ravenclaw
Amos Prang,14,5,Ravenclaw
Fleur Evans,3,2,Slytherin
Rubeus Nott,10,3,Hufflepuff
Uric Diggory,4,5,Slytherin
Edgar Burbage,10,5,Hufflepuff
Dolores Rabnott,9,4,Slytherin
Arcturus Mimsey-Porpington,9,4,Slytherin
Viridian McLaggen,8,2,Hufflepuff
Wormtail Flint,14,3,Ravenclaw
Hannah Prewett,16,2,Ravenclaw
Fluffy Weasley,4,4,Slytherin
Harry Bagnold,11,6,Hufflepuff
Ragnok Twycross,8,5,Hufflepuff
